sentence,labeler_1_knowledge,labeler_2_knowledge,labeler_1_accuracy,labeler_2_accuracy,labeler_1_duplicate,labeler_2_duplicate,labeler_1_overlap,labeler_2_overlap
"- Instead you'll have to access the configuration by the name, using ConfigurationContainer.getByName().",1,1,0,0,0,0,0,0
- When you call 'orderRepository.save(order2);' the id value you passed when building the order is ignored and a new UUID is automatically generated.,1,1,0,0,0,0,0,0
"- You should not set the id for order, since it's auto generated by the persistence layer.",1,1,0,0,0,0,0,0
"- Actually, I did it this way:",1,1,0,0,0,0,0,0
"On initial save, UUID will be set, and it should be unique and not null.",1,1,1,1,0,0,0,0
- According to the Java Language Specification:,1,1,0,0,0,0,0,0
String contexts apply only to an operand of the binary + operator which is not a String when the other operand is a String.,1,1,0,0,0,0,0,0
"- If you put your files/resources inside your source folder, you can access them through ClassName.getResource() and ClassName.getResourceAsStream() methods.",1,1,0,0,0,0,0,0
"- (As pointed out by @WJS, the list cannot be modified directly, only its contents, so this is sometimes called ""call by sharing"", but it is very similar)",1,1,0,0,0,0,0,0
"- configurations.runtimeClasspath is a generated Gradle Kotlin DSL accessor, and these are only available inside *.gradle.kts files.",1,1,0,1,0,0,0,1
#VALUE!,1,1,0,0,0,0,0,0
"Unlike the of method, the format method is not defined as static, so you'll need to use an instance to access it.",1,1,0,0,0,0,0,0
"- Conveniently, JavaPlugin provides the name of the runtimeClasspath Configuration, so it can be imported and used directly (rather than using a 'magic' string).",1,1,0,0,0,0,0,0
"- Then, it will only pick up properties starting with that prefix:",1,1,0,0,0,0,0,0
and in your application.properties:,1,1,0,0,0,0,0,0
"- To solve this problem, the @RequestBody annotation should be removed:",1,1,0,0,0,0,0,0
"- Setting the CLASSPATH variable or using the -classpath command-line option overrides that default, so if you want to include the current directory in the search path, you must include "".""",1,1,0,0,0,0,0,0
"- The target type in these contexts is always String, and a string conversion (?5.1.11) of the non-String operand always occurs.",1,1,0,0,0,0,0,0
"- Which means that when you do hp + brand, since brand is a String the rule above kicks in, hp gets converted to a String and concatenation occurs, resulting in a String.",1,1,0,0,0,0,0,0
"- And, when a class is defined with the final keyword, it cannot be encapsulated.",1,1,0,0,0,0,0,0
"- The point of UUIDs is that it doesn't matter who generates them and there is no state you need to worry about (i.e. the chance that 2 separate systems both generating random UUIDs happen to generate identical UUIDs, rounds down to zero).",1,1,1,1,0,0,0,0
