,api,knowledge_type,post_id,cleaned_post,creation_date
0,ByteArray,functionality,66396834,"Xml:

Kotlin:

",1614413494
1,ByteArray,functionality,62829880,"Here is the kotlin code

",1594368500
2,ByteArray,functionality,56185257,"ByteArray is an object (reference type), so you can create an array of it: Array<ByteArray>.
",1558091583
3,ByteArray,functionality,64805430,"
source: Android : How to read file in bytes?
",1605189899
4,ByteArray,functionality,61137291,"example for Kotlin

",1586510288
5,ByteArray,functionality,56920232,"Using kotlin Int class will do

",1562485438
6,ByteArray,functionality,66126809,"Java:

Kotlin:

",1612903365
7,ByteArray,functionality,71723371,"
here how it works with fragment


",1648965484
8,ByteArray,functionality,72599846,"In Kotlin API interface:

",1655109097
9,ByteArray,functionality,64518071,"Api Interface

Kotlin code

",1603574159
10,ByteArray,concept,66396834,"Xml:

Kotlin:

",1614413494
11,ByteArray,concept,56185257,"ByteArray is an object (reference type), so you can create an array of it: Array<ByteArray>.
",1558091583
12,ByteArray,concept,62829880,"Here is the kotlin code

",1594368500
13,ByteArray,concept,61137291,"example for Kotlin

",1586510288
14,ByteArray,concept,64805430,"
source: Android : How to read file in bytes?
",1605189899
15,ByteArray,concept,66126809,"Java:

Kotlin:

",1612903365
16,ByteArray,concept,72599846,"In Kotlin API interface:

",1655109097
17,ByteArray,concept,64852886,"The following is an object serializable class which is helpful to convert the object to bytes array and vice versa in Kotlin.

",1605502757
18,ByteArray,concept,64518071,"Api Interface

Kotlin code

",1603574159
19,ByteArray,concept,55570269,"Kotlin (since 1.3) provides the extension method InputStream.readBytes() for reading all bytes of an InputStream into a ByteArray.
In your case use:

",1554715878
20,ByteArray,performance,66396834,"Xml:

Kotlin:

",1614413494
21,ByteArray,performance,62829880,"Here is the kotlin code

",1594368500
22,ByteArray,performance,61137291,"example for Kotlin

",1586510288
23,ByteArray,performance,64852886,"The following is an object serializable class which is helpful to convert the object to bytes array and vice versa in Kotlin.

",1605502757
24,ByteArray,performance,66126809,"Java:

Kotlin:

",1612903365
25,ByteArray,performance,72599846,"In Kotlin API interface:

",1655109097
26,ByteArray,performance,64805430,"
source: Android : How to read file in bytes?
",1605189899
27,ByteArray,performance,63145875,"using kotlin function as

using from  your data

",1595993086
28,ByteArray,performance,64518071,"Api Interface

Kotlin code

",1603574159
